edo_code,year,sex,rango_edad,escolaridad,pob,homtot,thom,edo_nom
01,2006,Hombre,16 - 18,Todos,32957,0,0,Aguascalientes
01,2006,Hombre,19 - 25,Licenciatura o más,13723.437,1,7.2868047,Aguascalientes
01,2006,Hombre,19 - 25,No determinado,,0,,Aguascalientes
01,2006,Hombre,19 - 25,Preparatoria,20155.586,0,0,Aguascalientes
01,2006,Hombre,19 - 25,Primaria,8586.6523,0,0,Aguascalientes
01,2006,Hombre,19 - 25,Secundaria,24367.654,1,4.1038008,Aguascalientes
01,2006,Hombre,19 - 25,Sin escolaridad,394.40625,0,0,Aguascalientes
01,2006,Hombre,19 - 25,Todos,67395,2,2.9675791,Aguascalientes
01,2006,Hombre,26 - 40,Licenciatura o más,23697.439,1,4.2198653,Aguascalientes
01,2006,Hombre,26 - 40,No determinado,,4,,Aguascalientes
01,2006,Hombre,26 - 40,Preparatoria,22781.123,1,4.3895993,Aguascalientes
01,2006,Hombre,26 - 40,Primaria,25749.736,1,3.8835349,Aguascalientes
01,2006,Hombre,26 - 40,Secundaria,42499.883,1,2.3529477,Aguascalientes
01,2006,Hombre,26 - 40,Sin escolaridad,1736.1334,1,57.599258,Aguascalientes
01,2006,Hombre,26 - 40,Todos,116820,10,8.5601778,Aguascalientes
01,2006,Hombre,41 - 64,Licenciatura o más,18766.545,0,0,Aguascalientes
01,2006,Hombre,41 - 64,No determinado,,3,,Aguascalientes
01,2006,Hombre,41 - 64,Preparatoria,13167.714,0,0,Aguascalientes
01,2006,Hombre,41 - 64,Primaria,35682.844,0,0,Aguascalientes
01,2006,Hombre,41 - 64,Secundaria,20757.689,1,4.817492,Aguascalientes
01,2006,Hombre,41 - 64,Sin escolaridad,3906.3569,0,0,Aguascalientes
01,2006,Hombre,41 - 64,Todos,93286,4,4.287889,Aguascalientes
01,2006,Hombre,6 - 11,No determinado,,1,,Aguascalientes
01,2006,Hombre,6 - 11,Primaria,57715.602,0,0,Aguascalientes
01,2006,Hombre,6 - 11,Sin escolaridad,861.22247,0,0,Aguascalientes
01,2006,Hombre,6 - 11,Todos,76456,1,1.3079418,Aguascalientes
01,2006,Hombre,65 +,Licenciatura o más,2099.9136,0,0,Aguascalientes
01,2006,Hombre,65 +,No determinado,,0,,Aguascalientes
01,2006,Hombre,65 +,Preparatoria,1508.3656,0,0,Aguascalientes
01,2006,Hombre,65 +,Primaria,12841.181,0,0,Aguascalientes
01,2006,Hombre,65 +,Secundaria,1578.0076,0,0,Aguascalientes
01,2006,Hombre,65 +,Sin escolaridad,5494.3506,1,18.200514,Aguascalientes
01,2006,Hombre,65 +,Todos,23784,1,4.2045074,Aguascalientes
01,2006,Hombre,Todos,Licenciatura o más,65839.133,2,3.0377071,Aguascalientes
01,2006,Hombre,Todos,No determinado,,8,,Aguascalientes
01,2006,Hombre,Todos,Preparatoria,79183.836,1,1.262884,Aguascalientes
01,2006,Hombre,Todos,Primaria,179746.67,1,.55633855,Aguascalientes
01,2006,Hombre,Todos,Secundaria,141842.78,4,2.8200238,Aguascalientes
01,2006,Hombre,Todos,Sin escolaridad,35057.871,2,5.7048531,Aguascalientes
01,2006,Hombre,Todos,Todos,537658,19,3.5338449,Aguascalientes
01,2006,Mujer,0 - 5,No determinado,,0,,Aguascalientes
01,2006,Mujer,0 - 5,Sin escolaridad,44681.656,0,0,Aguascalientes
01,2006,Mujer,0 - 5,Todos,76193,0,0,Aguascalientes
01,2006,Mujer,12 - 15,No determinado,,0,,Aguascalientes
01,2006,Mujer,12 - 15,Preparatoria,971.07098,0,0,Aguascalientes
01,2006,Mujer,12 - 15,Primaria,19588.338,0,0,Aguascalientes
01,2006,Mujer,12 - 15,Secundaria,26986.74,1,3.7055235,Aguascalientes
01,2006,Mujer,12 - 15,Sin escolaridad,129.60706,0,0,Aguascalientes
01,2006,Mujer,12 - 15,Todos,47825,1,2.0909567,Aguascalientes
01,2006,Mujer,16 - 18,Licenciatura o más,577.93292,0,0,Aguascalientes
01,2006,Mujer,16 - 18,No determinado,,0,,Aguascalientes
01,2006,Mujer,16 - 18,Preparatoria,15207.317,0,0,Aguascalientes
01,2006,Mujer,16 - 18,Primaria,3285.6218,0,0,Aguascalientes
01,2006,Mujer,16 - 18,Secundaria,14385.227,0,0,Aguascalientes
01,2006,Mujer,16 - 18,Sin escolaridad,177.40346,0,0,Aguascalientes
01,2006,Mujer,16 - 18,Todos,33703,0,0,Aguascalientes
01,2006,Mujer,19 - 25,Licenciatura o más,17515.053,0,0,Aguascalientes
01,2006,Mujer,19 - 25,No determinado,,0,,Aguascalientes
01,2006,Mujer,19 - 25,Preparatoria,21069.365,1,4.7462273,Aguascalientes
01,2006,Mujer,19 - 25,Primaria,6864.7012,0,0,Aguascalientes
01,2006,Mujer,19 - 25,Secundaria,26243.059,0,0,Aguascalientes
01,2006,Mujer,19 - 25,Sin escolaridad,602.06482,0,0,Aguascalientes
01,2006,Mujer,19 - 25,Todos,72362,1,1.3819408,Aguascalientes
01,2006,Mujer,26 - 40,Licenciatura o más,24810.543,0,0,Aguascalientes
01,2006,Mujer,26 - 40,No determinado,,1,,Aguascalientes
01,2006,Mujer,26 - 40,Preparatoria,24975.313,0,0,Aguascalientes
01,2006,Mujer,26 - 40,Primaria,31229.855,0,0,Aguascalientes
01,2006,Mujer,26 - 40,Secundaria,48052.453,1,2.0810592,Aguascalientes
01,2006,Mujer,26 - 40,Sin escolaridad,1486.7278,0,0,Aguascalientes
01,2006,Mujer,26 - 40,Todos,130873,2,1.5281991,Aguascalientes
01,2006,Mujer,41 - 64,Licenciatura o más,13814.471,0,0,Aguascalientes
01,2006,Mujer,41 - 64,No determinado,,1,,Aguascalientes
01,2006,Mujer,41 - 64,Preparatoria,10957.679,1,9.1260204,Aguascalientes
01,2006,Mujer,41 - 64,Primaria,47422.891,0,0,Aguascalientes
01,2006,Mujer,41 - 64,Secundaria,25555.729,0,0,Aguascalientes
01,2006,Mujer,41 - 64,Sin escolaridad,5413.6099,0,0,Aguascalientes
01,2006,Mujer,41 - 64,Todos,103761,2,1.9275064,Aguascalientes
01,2006,Mujer,6 - 11,No determinado,,0,,Aguascalientes
01,2006,Mujer,6 - 11,Primaria,55693.383,0,0,Aguascalientes
01,2006,Mujer,6 - 11,Sin escolaridad,512.3559,0,0,Aguascalientes
01,2006,Mujer,6 - 11,Todos,74861,0,0,Aguascalientes
01,2006,Mujer,65 +,Licenciatura o más,674.58093,0,0,Aguascalientes
01,2006,Mujer,65 +,No determinado,,0,,Aguascalientes
01,2006,Mujer,65 +,Preparatoria,1105.7299,0,0,Aguascalientes
01,2006,Mujer,65 +,Primaria,16723.949,0,0,Aguascalientes
01,2006,Mujer,65 +,Secundaria,2266.3174,0,0,Aguascalientes
01,2006,Mujer,65 +,Sin escolaridad,7065.5283,0,0,Aguascalientes
01,2006,Mujer,65 +,Todos,28248.396,1,3.540024,Aguascalientes
01,2006,Mujer,Todos,Licenciatura o más,62413.715,0,0,Aguascalientes
01,2006,Mujer,Todos,No determinado,,2,,Aguascalientes
01,2006,Mujer,Todos,Preparatoria,80375.383,2,2.4883242,Aguascalientes
01,2006,Mujer,Todos,Primaria,197350.53,0,0,Aguascalientes
01,2006,Mujer,Todos,Secundaria,154737.11,2,1.2925148,Aguascalientes
01,2006,Mujer,Todos,Sin escolaridad,37920.531,0,0,Aguascalientes
01,2006,Mujer,Todos,Todos,567826.38,7,1.2327712,Aguascalientes
01,2007,Ambos,0 - 5,No determinado,,0,,Aguascalientes
01,2007,Ambos,0 - 5,Sin escolaridad,89305.75,3,3.3592463,Aguascalientes
01,2007,Ambos,0 - 5,Todos,154872,3,1.9370835,Aguascalientes
01,2007,Ambos,12 - 15,No determinado,,0,,Aguascalientes
01,2007,Ambos,12 - 15,Preparatoria,2009.9467,0,0,Aguascalientes
01,2007,Ambos,12 - 15,Primaria,40448.91,0,0,Aguascalientes
01,2007,Ambos,12 - 15,Secundaria,53782.773,0,0,Aguascalientes
01,2007,Ambos,12 - 15,Sin escolaridad,350.17197,1,285.57397,Aguascalientes
01,2007,Ambos,12 - 15,Todos,96944,1,1.0315233,Aguascalientes
01,2007,Ambos,16 - 18,Licenciatura o más,771.68475,0,0,Aguascalientes
01,2007,Ambos,16 - 18,No determinado,,0,,Aguascalientes
01,2007,Ambos,16 - 18,Preparatoria,28958.984,0,0,Aguascalientes
01,2007,Ambos,16 - 18,Primaria,7209.957,0,0,Aguascalientes
01,2007,Ambos,16 - 18,Secundaria,30412.516,1,3.28812,Aguascalientes
01,2007,Ambos,16 - 18,Sin escolaridad,419.8873,0,0,Aguascalientes
01,2007,Ambos,16 - 18,Todos,67878,1,1.4732314,Aguascalientes
01,2007,Ambos,19 - 25,Licenciatura o más,31556.529,0,0,Aguascalientes
01,2007,Ambos,19 - 25,No determinado,,2,,Aguascalientes
01,2007,Ambos,19 - 25,Preparatoria,41682.551,1,2.3990855,Aguascalientes
01,2007,Ambos,19 - 25,Primaria,15641.99,1,6.3930483,Aguascalientes
01,2007,Ambos,19 - 25,Secundaria,51165.516,2,3.9088826,Aguascalientes
01,2007,Ambos,19 - 25,Sin escolaridad,1005.8129,1,99.422073,Aguascalientes
01,2007,Ambos,19 - 25,Todos,141291,7,4.9543142,Aguascalientes
01,2007,Ambos,26 - 40,Licenciatura o más,49397.27,1,2.0244033,Aguascalientes
01,2007,Ambos,26 - 40,No determinado,,8,,Aguascalientes
01,2007,Ambos,26 - 40,Preparatoria,48612.012,3,6.1713142,Aguascalientes
01,2007,Ambos,26 - 40,Primaria,57948.449,1,1.7256718,Aguascalientes
01,2007,Ambos,26 - 40,Secundaria,92149.344,6,6.5111694,Aguascalientes
01,2007,Ambos,26 - 40,Sin escolaridad,3287.8147,1,30.415339,Aguascalientes
01,2007,Ambos,26 - 40,Todos,252082,21,8.3306227,Aguascalientes
01,2007,Ambos,41 - 64,Licenciatura o más,33860.547,1,2.9532895,Aguascalientes
01,2007,Ambos,41 - 64,No determinado,,3,,Aguascalientes
01,2007,Ambos,41 - 64,Preparatoria,25084.406,0,0,Aguascalientes
01,2007,Ambos,41 - 64,Primaria,86562.711,0,0,Aguascalientes
01,2007,Ambos,41 - 64,Secundaria,48226.105,2,4.1471314,Aguascalientes
01,2007,Ambos,41 - 64,Sin escolaridad,9709.165,0,0,Aguascalientes
01,2007,Ambos,41 - 64,Todos,205106,7,3.4128695,Aguascalientes
01,2007,Ambos,6 - 11,No determinado,,0,,Aguascalientes
01,2007,Ambos,6 - 11,Primaria,113897.41,0,0,Aguascalientes
01,2007,Ambos,6 - 11,Sin escolaridad,1380.282,0,0,Aguascalientes
01,2007,Ambos,6 - 11,Todos,151966,0,0,Aguascalientes
01,2007,Ambos,65 +,Licenciatura o más,2905.5527,0,0,Aguascalientes
01,2007,Ambos,65 +,No determinado,,0,,Aguascalientes
01,2007,Ambos,65 +,Preparatoria,2715.6077,0,0,Aguascalientes
01,2007,Ambos,65 +,Primaria,30516.107,0,0,Aguascalientes
01,2007,Ambos,65 +,Secundaria,3963.6943,0,0,Aguascalientes
01,2007,Ambos,65 +,Sin escolaridad,12965.704,0,0,Aguascalientes
01,2007,Ambos,65 +,Todos,53761.398,1,1.8600707,Aguascalientes
01,2007,Ambos,Todos,Licenciatura o más,130368.5,2,1.5341129,Aguascalientes
01,2007,Ambos,Todos,No determinado,,13,,Aguascalientes
01,2007,Ambos,Todos,Preparatoria,162207.75,4,2.4659734,Aguascalientes
01,2007,Ambos,Todos,Primaria,383401.25,2,.52164668,Aguascalientes
01,2007,Ambos,Todos,Secundaria,301535.03,11,3.6480007,Aguascalientes
01,2007,Ambos,Todos,Sin escolaridad,74196.75,7,9.4343758,Aguascalientes
01,2007,Ambos,Todos,Todos,1123900.4,42,3.7369859,Aguascalientes
01,2007,Hombre,0 - 5,No determinado,,0,,Aguascalientes
01,2007,Hombre,0 - 5,Sin escolaridad,44759.609,2,4.4683142,Aguascalientes
01,2007,Hombre,0 - 5,Todos,78933,2,2.5337944,Aguascalientes
01,2007,Hombre,12 - 15,No determinado,,0,,Aguascalientes
01,2007,Hombre,12 - 15,Preparatoria,1028.4891,0,0,Aguascalientes
01,2007,Hombre,12 - 15,Primaria,20649.213,0,0,Aguascalientes
01,2007,Hombre,12 - 15,Secundaria,26467.346,0,0,Aguascalientes
01,2007,Hombre,12 - 15,Sin escolaridad,220.75894,0,0,Aguascalientes
01,2007,Hombre,12 - 15,Todos,48568,0,0,Aguascalientes
01,2007,Hombre,16 - 18,Licenciatura o más,176.90767,0,0,Aguascalientes
01,2007,Hombre,16 - 18,No determinado,,0,,Aguascalientes
01,2007,Hombre,16 - 18,Preparatoria,13452.675,0,0,Aguascalientes
01,2007,Hombre,16 - 18,Primaria,3875.624,0,0,Aguascalientes
01,2007,Hombre,16 - 18,Secundaria,15794.778,1,6.3312063,Aguascalientes
01,2007,Hombre,16 - 18,Sin escolaridad,240.36368,0,0,Aguascalientes
01,2007,Hombre,16 - 18,Todos,33574,1,2.9784954,Aguascalientes
01,2007,Hombre,19 - 25,Licenciatura o más,13872.288,0,0,Aguascalientes
01,2007,Hombre,19 - 25,No determinado,,2,,Aguascalientes
01,2007,Hombre,19 - 25,Preparatoria,20374.203,1,4.9081674,Aguascalientes
01,2007,Hombre,19 - 25,Primaria,8679.7871,1,11.52102,Aguascalientes
01,2007,Hombre,19 - 25,Secundaria,24631.959,1,4.0597663,Aguascalientes
01,2007,Hombre,19 - 25,Sin escolaridad,398.6842,1,250.82509,Aguascalientes
01,2007,Hombre,19 - 25,Todos,68126,6,8.80721,Aguascalientes
01,2007,Hombre,26 - 40,Licenciatura o más,24085.297,0,0,Aguascalientes
01,2007,Hombre,26 - 40,No determinado,,6,,Aguascalientes
01,2007,Hombre,26 - 40,Preparatoria,23153.982,3,12.956735,Aguascalientes
01,2007,Hombre,26 - 40,Primaria,26171.184,1,3.8209965,Aguascalientes
01,2007,Hombre,26 - 40,Secundaria,43195.48,6,13.890342,Aguascalientes
01,2007,Hombre,26 - 40,Sin escolaridad,1764.5488,1,56.671711,Aguascalientes
01,2007,Hombre,26 - 40,Todos,118732,18,15.160192,Aguascalientes
01,2007,Hombre,41 - 64,Licenciatura o más,19506.455,1,5.1265082,Aguascalientes
01,2007,Hombre,41 - 64,No determinado,,3,,Aguascalientes
01,2007,Hombre,41 - 64,Preparatoria,13686.879,0,0,Aguascalientes
